"event","time","replicate","compartment","state","abundance"
"alt_1",322,1,"nuclear","unprocessed",544.8247
"alt_1",322,1,"nuclear","processed",6097.6621
"alt_1",322,1,"cytoplasmic","unprocessed",42.9393
"alt_1",322,1,"cytoplasmic","processed",1593.6515
"alt_1",322,2,"nuclear","unprocessed",547.0577
"alt_1",322,2,"nuclear","processed",6909.9158
"alt_1",322,2,"cytoplasmic","unprocessed",46.0974
"alt_1",322,2,"cytoplasmic","processed",1531.0716
"alt_1",322,3,"nuclear","unprocessed",490.6547
"alt_1",322,3,"nuclear","processed",6817.2186
"alt_1",322,3,"cytoplasmic","unprocessed",37.988
"alt_1",322,3,"cytoplasmic","processed",1724.3689
"alt_1",322,4,"nuclear","unprocessed",502.5323
"alt_1",322,4,"nuclear","processed",6538.3108
"alt_1",322,4,"cytoplasmic","unprocessed",40.1591
"alt_1",322,4,"cytoplasmic","processed",1714.1283
"alt_1",322,5,"nuclear","unprocessed",519.2125
"alt_1",322,5,"nuclear","processed",7049.748
"alt_1",322,5,"cytoplasmic","unprocessed",43.8828
"alt_1",322,5,"cytoplasmic","processed",1456.4153
"alt_1",332,1,"nuclear","unprocessed",547.7388
"alt_1",332,1,"nuclear","processed",6940.4208
"alt_1",332,1,"cytoplasmic","unprocessed",48.4467
"alt_1",332,1,"cytoplasmic","processed",1632.3806
"alt_1",332,2,"nuclear","unprocessed",596.9413
"alt_1",332,2,"nuclear","processed",7040.2296
"alt_1",332,2,"cytoplasmic","unprocessed",45.5424
"alt_1",332,2,"cytoplasmic","processed",1626.0326
"alt_1",332,3,"nuclear","unprocessed",524.828
"alt_1",332,3,"nuclear","processed",6893.5465
"alt_1",332,3,"cytoplasmic","unprocessed",39.4865
"alt_1",332,3,"cytoplasmic","processed",1632.0161
"alt_1",332,4,"nuclear","unprocessed",544.4269
"alt_1",332,4,"nuclear","processed",6547.0024
"alt_1",332,4,"cytoplasmic","unprocessed",43.8789
"alt_1",332,4,"cytoplasmic","processed",1851.0375
"alt_1",332,5,"nuclear","unprocessed",498.3521
"alt_1",332,5,"nuclear","processed",7252.469
"alt_1",332,5,"cytoplasmic","unprocessed",45.3868
"alt_1",332,5,"cytoplasmic","processed",1609.6791
"alt_1",342,1,"nuclear","unprocessed",159.4648
"alt_1",342,1,"nuclear","processed",6164.1455
"alt_1",342,1,"cytoplasmic","unprocessed",17.9391
"alt_1",342,1,"cytoplasmic","processed",1596.9194
"alt_1",342,2,"nuclear","unprocessed",163.7341
"alt_1",342,2,"nuclear","processed",6591.6976
"alt_1",342,2,"cytoplasmic","unprocessed",20.6572
"alt_1",342,2,"cytoplasmic","processed",1502.4983
"alt_1",342,3,"nuclear","unprocessed",131.362
"alt_1",342,3,"nuclear","processed",6495.5635
"alt_1",342,3,"cytoplasmic","unprocessed",15.696
"alt_1",342,3,"cytoplasmic","processed",1764.635
"alt_1",342,4,"nuclear","unprocessed",127.2197
"alt_1",342,4,"nuclear","processed",6235.6974
"alt_1",342,4,"cytoplasmic","unprocessed",13.848
"alt_1",342,4,"cytoplasmic","processed",1662.1767
"alt_1",342,5,"nuclear","unprocessed",127.8915
"alt_1",342,5,"nuclear","processed",7057.3644
"alt_1",342,5,"cytoplasmic","unprocessed",14.9692
"alt_1",342,5,"cytoplasmic","processed",1527.4833
"alt_1",352,1,"nuclear","unprocessed",45.8417
"alt_1",352,1,"nuclear","processed",5676.2167
"alt_1",352,1,"cytoplasmic","unprocessed",5.4731
"alt_1",352,1,"cytoplasmic","processed",1568.8152
"alt_1",352,2,"nuclear","unprocessed",45.38
"alt_1",352,2,"nuclear","processed",6680.3589
"alt_1",352,2,"cytoplasmic","unprocessed",5.9202
"alt_1",352,2,"cytoplasmic","processed",1625.4247
"alt_1",352,3,"nuclear","unprocessed",37.4308
"alt_1",352,3,"nuclear","processed",6402.0785
"alt_1",352,3,"cytoplasmic","unprocessed",4.2214
"alt_1",352,3,"cytoplasmic","processed",1646.2108
"alt_1",352,4,"nuclear","unprocessed",32.4602
"alt_1",352,4,"nuclear","processed",6442.4281
"alt_1",352,4,"cytoplasmic","unprocessed",4.2951
"alt_1",352,4,"cytoplasmic","processed",1635.8064
"alt_1",352,5,"nuclear","unprocessed",33.1765
"alt_1",352,5,"nuclear","processed",6992.0996
"alt_1",352,5,"cytoplasmic","unprocessed",3.6276
"alt_1",352,5,"cytoplasmic","processed",1636.9241
"alt_1",362,1,"nuclear","unprocessed",12.9519
"alt_1",362,1,"nuclear","processed",5659.913
"alt_1",362,1,"cytoplasmic","unprocessed",1.6726
"alt_1",362,1,"cytoplasmic","processed",1542.0914
"alt_1",362,2,"nuclear","unprocessed",12.9417
"alt_1",362,2,"nuclear","processed",6280.1356
"alt_1",362,2,"cytoplasmic","unprocessed",1.7089
"alt_1",362,2,"cytoplasmic","processed",1343.2207
"alt_1",362,3,"nuclear","unprocessed",9.9445
"alt_1",362,3,"nuclear","processed",5814.4493
"alt_1",362,3,"cytoplasmic","unprocessed",1.0173
"alt_1",362,3,"cytoplasmic","processed",1621.2095
"alt_1",362,4,"nuclear","unprocessed",7.9107
"alt_1",362,4,"nuclear","processed",5710.8922
"alt_1",362,4,"cytoplasmic","unprocessed",1.0578
"alt_1",362,4,"cytoplasmic","processed",1688.0024
"alt_1",362,5,"nuclear","unprocessed",9.0955
"alt_1",362,5,"nuclear","processed",6171.2112
"alt_1",362,5,"cytoplasmic","unprocessed",1.0718
"alt_1",362,5,"cytoplasmic","processed",1470.002
"alt_2",322,1,"nuclear","unprocessed",1147.1764
"alt_2",322,1,"nuclear","processed",6551.9937
"alt_2",322,1,"cytoplasmic","unprocessed",193.0041
"alt_2",322,1,"cytoplasmic","processed",5615.0378
"alt_2",322,2,"nuclear","unprocessed",1139.2258
"alt_2",322,2,"nuclear","processed",7609.3291
"alt_2",322,2,"cytoplasmic","unprocessed",203.1684
"alt_2",322,2,"cytoplasmic","processed",6384.9084
"alt_2",322,3,"nuclear","unprocessed",1110.1811
"alt_2",322,3,"nuclear","processed",6622.1387
"alt_2",322,3,"cytoplasmic","unprocessed",200.6741
"alt_2",322,3,"cytoplasmic","processed",6055.3208
"alt_2",322,4,"nuclear","unprocessed",1038.9687
"alt_2",322,4,"nuclear","processed",6353.3099
"alt_2",322,4,"cytoplasmic","unprocessed",178.4874
"alt_2",322,4,"cytoplasmic","processed",5594.603
"alt_2",322,5,"nuclear","unprocessed",1057.1559
"alt_2",322,5,"nuclear","processed",7375.0394
"alt_2",322,5,"cytoplasmic","unprocessed",191.6628
"alt_2",322,5,"cytoplasmic","processed",6582.2492
"alt_2",332,1,"nuclear","unprocessed",1164.9839
"alt_2",332,1,"nuclear","processed",7334.0183
"alt_2",332,1,"cytoplasmic","unprocessed",209.0297
"alt_2",332,1,"cytoplasmic","processed",5698.1283
"alt_2",332,2,"nuclear","unprocessed",957.7226
"alt_2",332,2,"nuclear","processed",8304.7477
"alt_2",332,2,"cytoplasmic","unprocessed",209.2383
"alt_2",332,2,"cytoplasmic","processed",6439.3021
"alt_2",332,3,"nuclear","unprocessed",1128.5119
"alt_2",332,3,"nuclear","processed",6639.3423
"alt_2",332,3,"cytoplasmic","unprocessed",200.2385
"alt_2",332,3,"cytoplasmic","processed",5776.4827
"alt_2",332,4,"nuclear","unprocessed",1108.31
"alt_2",332,4,"nuclear","processed",7209.088
"alt_2",332,4,"cytoplasmic","unprocessed",158.4266
"alt_2",332,4,"cytoplasmic","processed",5341.7734
"alt_2",332,5,"nuclear","unprocessed",1069.569
"alt_2",332,5,"nuclear","processed",6511.8626
"alt_2",332,5,"cytoplasmic","unprocessed",196.2687
"alt_2",332,5,"cytoplasmic","processed",6802.8934
"alt_2",342,1,"nuclear","unprocessed",141.505
"alt_2",342,1,"nuclear","processed",6712.0836
"alt_2",342,1,"cytoplasmic","unprocessed",112.9653
"alt_2",342,1,"cytoplasmic","processed",5546.6329
"alt_2",342,2,"nuclear","unprocessed",131.0097
"alt_2",342,2,"nuclear","processed",5990.772
"alt_2",342,2,"cytoplasmic","unprocessed",108.9544
"alt_2",342,2,"cytoplasmic","processed",6480.2257
"alt_2",342,3,"nuclear","unprocessed",155.6006
"alt_2",342,3,"nuclear","processed",5637.5297
"alt_2",342,3,"cytoplasmic","unprocessed",105.618
"alt_2",342,3,"cytoplasmic","processed",5594.7582
"alt_2",342,4,"nuclear","unprocessed",109.0396
"alt_2",342,4,"nuclear","processed",5766.417
"alt_2",342,4,"cytoplasmic","unprocessed",88.406
"alt_2",342,4,"cytoplasmic","processed",5598.348
"alt_2",342,5,"nuclear","unprocessed",116.9028
"alt_2",342,5,"nuclear","processed",6557.5495
"alt_2",342,5,"cytoplasmic","unprocessed",94.8474
"alt_2",342,5,"cytoplasmic","processed",6676.9114
"alt_2",352,1,"nuclear","unprocessed",20.5188
"alt_2",352,1,"nuclear","processed",4690.3914
"alt_2",352,1,"cytoplasmic","unprocessed",36.5923
"alt_2",352,1,"cytoplasmic","processed",5033.0876
"alt_2",352,2,"nuclear","unprocessed",15.4544
"alt_2",352,2,"nuclear","processed",4727.4565
"alt_2",352,2,"cytoplasmic","unprocessed",37.2461
"alt_2",352,2,"cytoplasmic","processed",5959.0364
"alt_2",352,3,"nuclear","unprocessed",18.183
"alt_2",352,3,"nuclear","processed",3776.4923
"alt_2",352,3,"cytoplasmic","unprocessed",33.4465
"alt_2",352,3,"cytoplasmic","processed",5588.1362
"alt_2",352,4,"nuclear","unprocessed",11.5966
"alt_2",352,4,"nuclear","processed",3932.7792
"alt_2",352,4,"cytoplasmic","unprocessed",25.7737
"alt_2",352,4,"cytoplasmic","processed",5171.8234
"alt_2",352,5,"nuclear","unprocessed",13.3721
"alt_2",352,5,"nuclear","processed",4478.4833
"alt_2",352,5,"cytoplasmic","unprocessed",31.5883
"alt_2",352,5,"cytoplasmic","processed",6188.9072
"alt_2",362,1,"nuclear","unprocessed",2.4776
"alt_2",362,1,"nuclear","processed",3651.0279
"alt_2",362,1,"cytoplasmic","unprocessed",11.4326
"alt_2",362,1,"cytoplasmic","processed",4862.7511
"alt_2",362,2,"nuclear","unprocessed",1.9688
"alt_2",362,2,"nuclear","processed",3810.8186
"alt_2",362,2,"cytoplasmic","unprocessed",11.7948
"alt_2",362,2,"cytoplasmic","processed",5253.152
"alt_2",362,3,"nuclear","unprocessed",2.7165
"alt_2",362,3,"nuclear","processed",2705.9092
"alt_2",362,3,"cytoplasmic","unprocessed",10.2724
"alt_2",362,3,"cytoplasmic","processed",4949.9522
"alt_2",362,4,"nuclear","unprocessed",1.244
"alt_2",362,4,"nuclear","processed",3049.5543
"alt_2",362,4,"cytoplasmic","unprocessed",7.691
"alt_2",362,4,"cytoplasmic","processed",4617.6925
"alt_2",362,5,"nuclear","unprocessed",1.4635
